artist_song,predictions,duration_ms_x,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,track_genre
BLACKPINK - Love To Hate Me,77.056404,169797.0,0.689,0.656,8.0,-4.532,1.0,0.143,0.0365,0.0,0.136,0.623,k-pop
NMIXX - DICE,76.76958,165746.0,0.556,0.798,7.0,-3.331,1.0,0.254,0.0848,0.0,0.33,0.628,k-pop
Jessi - ZOOM,76.43628,174840.0,0.874,0.6,6.0,-6.064,1.0,0.158,0.00942,0.0,0.126,0.457,k-pop
BLACKPINK - PLAYING WITH FIRE,76.21507,197288.0,0.706,0.756,4.0,-4.405,0.0,0.0845,0.0392,0.0,0.18,0.676,k-pop
EXO - Love Shot,76.073006,200306.0,0.689,0.678,5.0,-4.287,0.0,0.119,0.0702,0.0,0.0889,0.335,k-pop
Arjun Kanungo;Momina Mustehsan - Aaya Na Tu,76.06923,210000.0,0.665,0.539,11.0,-7.213,0.0,0.0474,0.825,5.85e-06,0.121,0.368,hip-hop
IVE - ELEVEN,76.020294,178453.0,0.828,0.731,9.0,-3.033,1.0,0.111,0.0617,0.0,0.048,0.587,k-pop
TOMORROW X TOGETHER - Good Boy Gone Bad,75.999435,191038.0,0.475,0.695,1.0,-5.919,1.0,0.102,0.0159,0.0,0.125,0.552,k-pop
BTS - Save Me,75.84954,196505.0,0.613,0.822,1.0,-3.48,1.0,0.062,0.0269,0.0,0.0783,0.54,k-pop
BLACKPINK - How You Like That,75.24836,180956.0,0.813,0.787,11.0,-4.254,1.0,0.0777,0.0452,0.000107,0.0506,0.326,k-pop
TOMORROW X TOGETHER - Blue Hour,74.9679,209105.0,0.71,0.82,3.0,-4.362,0.0,0.0836,0.00962,0.0,0.0871,0.746,k-pop
"Stray Kids - TASTE (Lee Know, Hyunjin, Felix)",73.85236,216120.0,0.626,0.623,6.0,-5.718,0.0,0.0653,0.0559,0.0,0.199,0.123,k-pop
Måneskin - THE LONELIEST,73.71159,247067.0,0.519,0.595,2.0,-5.001,1.0,0.0283,0.00151,0.0,0.0762,0.237,indie-pop
AP Dhillon;Shinda Kahlon - All Night (Live),73.596756,229510.0,0.723,0.456,4.0,-7.679,0.0,0.0359,0.137,2.95e-05,0.081,0.0383,hip-hop
Bazzi;Camila Cabello - Beautiful (feat. Camila Cabello),72.9546,180000.0,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,dance
TWICE - I CAN'T STOP ME,72.674164,205493.0,0.657,0.88,10.0,-3.672,0.0,0.102,0.121,0.0,0.463,0.769,k-pop
Adele - Remedy,72.65775,245426.0,0.405,0.3,2.0,-6.475,1.0,0.0378,0.894,0.0,0.154,0.24,british
Crush;j-hope - Rush Hour (Feat. j-hope of BTS),72.51831,177302.0,0.738,0.714,0.0,-5.235,1.0,0.249,0.157,0.0,0.31,0.74,k-pop
BTS - 00:00 (Zero O’Clock),72.39058,250295.0,0.56,0.547,1.0,-6.456,1.0,0.0675,0.0806,0.0,0.11,0.199,k-pop
DIVINE - 3:59 AM,72.31753,272197.0,0.669,0.588,2.0,-6.902,1.0,0.339,0.177,0.0,0.179,0.237,hip-hop
